Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
0,0.0,0.0,0.0,0.0,165.0,0.34274879628123833,0.0,0.0,0.0,6.124492553550377
1,0.0,0.0,0.0,0.0,159.00067330971223,0.33028660233218354,0.0,0.0,0.0,5.901808725423205
2,0.0,0.0,0.0,0.0,153.21947947237476,0.3182775282181476,0.0,0.0,0.0,5.687221582348024
3,0.0,0.0,0.0,0.0,147.648487274371,0.3067050987032509,0.0,0.0,0.0,5.480436732453715
4,0.0,0.0,0.0,0.0,142.2800538774877,0.2955534375838706,0.0,0.0,0.0,5.281170487826787
5,0.0,0.0,0.0,0.0,137.10681433371317,0.2848072459080935,0.0,0.0,0.0,5.089149475320245
6,0.0,0.0,0.0,0.0,132.12167148127332,0.2744517809871009,0.0,0.0,0.0,4.904110261513259
7,0.0,0.0,0.0,0.0,127.31778620804282,0.2644728361696892,0.0,0.0,0.0,4.725798991307134
8,0.0,0.0,0.0,0.0,122.68856806897455,0.2548567213521806,0.0,0.0,0.0,4.553971039661777
9,0.0,0.0,0.0,0.0,118.22766624467523,0.24559024419698441,0.0,0.0,0.0,4.388390675994865
10,0.0,0.0,0.0,0.0,113.928960828723,0.2366606920340434,0.0,0.0,0.0,4.228830740783313
11,0.0,0.0,0.0,0.0,109.78655443177448,0.22805581442033548,0.0,0.0,0.0,4.075072333923369
12,0.0,0.0,0.0,0.0,105.79476409094251,0.2197638063335038,0.0,0.0,0.0,3.9269045144217953
13,0.0,0.0,0.0,0.0,101.9481134733456,0.2117732919765594,0.0,0.0,0.0,3.7841240110061456
14,0.0,0.0,0.0,0.0,98.24132536313269,0.2040733091714377,0.0,0.0,0.0,3.646534943257127
15,0.0,0.0,0.0,0.0,94.6693144216764,0.19665329431999795,0.0,0.0,0.0,3.5139485528804633
16,0.0,0.0,0.0,0.0,91.22718021100242,0.18950306791183447,0.0,0.0,0.0,3.3861829447495917
17,0.0,0.0,0.0,0.0,87.91020047088388,0.18261282055901698,0.0,0.0,0.0,3.2630628373639343
18,0.0,0.0,0.0,0.0,84.71382464037768,0.17597309953860218,0.0,0.0,0.0,3.1444193223803976
19,0.0,0.0,0.0,0.0,81.6336676149148,0.16957479582445306,0.0,0.0,0.0,3.0300896328881954
20,0.0,0.0,0.0,0.0,78.66550373038002,0.16340913159057585,0.0,0.0,0.0,2.9199169201091024
21,0.0,0.0,0.0,0.0,75.8052609659279,0.15746764816882985,0.0,0.0,0.0,2.8137500382167784
22,0.0,0.0,0.0,0.0,73.04901535758171,0.15174219444448983,0.0,0.0,0.0,2.7114433369799777
23,0.0,0.0,0.0,0.0,70.39298561495151,0.14622491567374035,0.0,0.0,0.0,2.6128564619451478
24,0.0,0.0,0.0,0.0,67.83352793368593,0.14090824270776126,0.0,0.0,0.0,2.517854161884309
25,0.0,0.0,0.0,0.0,65.36713099654082,0.13578488160862054,0.0,0.0,0.0,2.426306103244038
26,0.0,0.0,0.0,0.0,62.990411156206974,0.13084780364272866,0.0,0.0,0.0,2.338086691341007
27,0.0,0.0,0.0,0.0,60.700107793287984,0.1260902356381265,0.0,0.0,0.0,2.2530748980587725
28,0.0,0.0,0.0,0.0,58.49307884306,0.12150565069237808,0.0,0.0,0.0,2.1711540958094306
29,0.0,0.0,0.0,0.0,56.36629648487649,0.11708775921832008,0.0,0.0,0.0,2.0922118975323567
30,0.0,0.0,0.0,0.0,54.316842988304415,0.112830500315384,0.0,0.0,0.0,2.0161400025105176
31,0.0,0.0,0.0,0.0,52.341906710292875,0.10872803345465307,0.0,0.0,0.0,1.9428340477928319
32,0.0,0.0,0.0,0.0,50.438778237883106,0.104774730466247,0.0,0.0,0.0,1.8721934650187508
33,0.0,0.0,0.0,0.0,48.604846671167714,0.10096516781804174,0.0,0.0,0.0,1.8041213424486333
34,0.0,0.0,0.0,0.0,46.83759604139995,0.09729411917513167,0.0,0.0,0.0,1.738524292010634
35,0.0,0.0,0.0,0.0,45.134601859338815,0.0937565482298262,0.0,0.0,0.0,1.6753123211817067
36,0.0,0.0,0.0,0.0,43.49352778909492,0.09034760179234468,0.0,0.0,0.0,1.614398709526959
37,0.0,0.0,0.0,0.0,41.912122442913756,0.08706260313273069,0.0,0.0,0.0,1.5556998897279815
38,0.0,0.0,0.0,0.0,40.38821629249933,0.08389704556485117,0.0,0.0,0.0,1.4991353329369344
39,0.0,0.0,0.0,0.0,38.9197186926405,0.08084658626367844,0.0,0.0,0.0,1.444627438299104
40,0.0,0.0,0.0,0.0,37.504615013057176,0.07790704030737337,0.0,0.0,0.0,1.392101426492378
41,0.0,0.0,0.0,0.0,36.140963874531096,0.07507437493599547,0.0,0.0,0.0,1.341485237137569
42,0.0,0.0,0.0,0.0,34.826894485529884,0.07234470401896403,0.0,0.0,0.0,1.2927094299388635
43,0.0,0.0,0.0,0.0,33.560604075670035,0.06971428272367955,0.0,0.0,0.0,1.245707089418749
44,0.0,0.0,0.0,0.0,32.34035542249823,0.06717950237799204,0.0,0.0,0.0,1.2004137331167453
45,0.0,0.0,0.0,0.0,31.164474468197703,0.06473688551946756,0.0,0.0,0.0,1.156767223125986
46,0.0,0.0,0.0,0.0,30.031348022950123,0.06238308112466122,0.0,0.0,0.0,1.1147076808462901
47,0.0,0.0,0.0,0.0,28.939421551802216,0.060114860011851734,0.0,0.0,0.0,1.0741774048367756
48,0.0,0.0,0.0,0.0,27.887197042000906,0.05792911041093043,0.0,0.0,0.0,1.0351207916553131
49,0.0,0.0,0.0,0.0,26.87323094787126,0.05582283369436725,0.0,0.0,0.0,0.9974842595762248
50,0.0,0.0,0.0,0.0,25.896132210417743,0.05379314026339688,0.0,0.0,0.0,0.9612161750815729
51,0.0,0.0,0.0,0.0,24.954560348931803,0.05183724558378117,0.0,0.0,0.0,0.9262667820251899
52,0.0,0.0,0.0,0.0,24.047223621987904,0.04995246636570978,0.0,0.0,0.0,0.8925881333722766
53,0.0,0.0,0.0,0.0,23.172877255304808,0.04813621688259763,0.0,0.0,0.0,0.8601340254209163
54,0.0,0.0,0.0,0.0,22.330321734041096,0.046386005423729455,0.0,0.0,0.0,0.8288599344152657
55,0.0,0.0,0.0,0.0,21.518401157182023,0.044699430875884516,0.0,0.0,0.0,0.7987229554634614
56,0.0,0.0,0.0,0.0,20.736001651760205,0.043074179429252,0.0,0.0,0.0,0.7696817436764466
57,0.0,0.0,0.0,0.0,19.982049844734405,0.04150802140311771,0.0,0.0,0.0,0.7416964574469597
58,0.0,0.0,0.0,0.0,19.255511390430307,0.03999880818696764,0.0,0.0,0.0,0.714728703790878
59,0.0,0.0,0.0,0.0,18.555389551522744,0.03854446929281143,0.0,0.0,0.0,0.6887414856759243
60,0.0,0.0,0.0,0.0,17.880723831612816,0.037143009514682086,0.0,0.0,0.0,0.6636991512654755
61,0.0,0.0,0.0,0.0,17.230588657523978,0.03579250619141516,0.0,0.0,0.0,0.6395673450078496
62,0.0,0.0,0.0,0.0,16.604092109509104,0.03449110656895184,0.0,0.0,0.0,0.6163129605039581
63,0.0,0.0,0.0,0.0,16.000374697626835,0.033237025258547756,0.0,0.0,0.0,0.5939040950886753
64,0.0,0.0,0.0,0.0,15.418608182608184,0.03202854178740004,0.0,0.0,0.0,0.5723100060636045
65,0.0,0.0,0.0,0.0,14.857994439595995,0.030863998238332482,0.0,0.0,0.0,0.5515010685212035
66,0.0,0.0,0.0,0.0,14.317764363198322,0.029741796975300824,0.0,0.0,0.0,0.5314487347024066
67,0.0,0.0,0.0,0.0,13.797176812353557,0.028660398451597544,0.0,0.0,0.0,0.5121254948319836
68,0.0,0.0,0.0,0.0,13.295517593559786,0.027618319097749353,0.0,0.0,0.0,0.49350483937790873
69,0.0,0.0,0.0,0.0,12.812098481073523,0.02661412928620989,0.0,0.0,0.0,0.47556122268296297
70,0.0,0.0,0.0,0.0,12.346256272733521,0.025646451370055168,0.0,0.0,0.0,0.4582700279186732
71,0.0,0.0,0.0,0.0,11.897351880114472,0.024713957792991292,0.0,0.0,0.0,0.4416075333135131
72,0.0,0.0,0.0,0.0,11.464769451762255,0.023815369268081366,0.0,0.0,0.0,0.4255508796090289
73,0.0,0.0,0.0,0.0,11.04791552830799,0.022949453022693123,0.0,0.0,0.0,0.41007803869924775
74,0.0,0.0,0.0,0.0,10.646218228301791,0.022115021107259495,0.0,0.0,0.0,0.3951677834103431
75,0.0,0.0,0.0,0.0,10.259126463649192,0.021310928765531867,0.0,0.0,0.0,0.3807996583790975
76,0.0,0.0,0.0,0.0,9.88610918357399,0.020536072864090187,0.0,0.0,0.0,0.3669539519902115
77,0.0,0.0,0.0,0.0,9.526654646070268,0.01978939037895546,0.0,0.0,0.0,0.3536116693339604
78,0.0,0.0,0.0,0.0,9.180269715844064,0.019069856937228236,0.0,0.0,0.0,0.340754506147097
79,0.0,0.0,0.0,0.0,8.846479187781615,0.01837648541175258,0.0,0.0,0.0,0.3283648237012539
80,0.0,0.0,0.0,0.0,8.524825135015961,0.017708324566877365,0.0,0.0,0.0,0.31642562460438994
81,0.0,0.0,0.0,0.0,8.214866280697551,0.017064457753457083,0.0,0.0,0.0,0.30492052948208626
82,0.0,0.0,0.0,0.0,7.9161773926070405,0.016444001651301908,0.0,0.0,0.0,0.29383375450670096
83,0.0,0.0,0.0,0.0,7.628348699779649,0.01584610505735166,0.0,0.0,0.0,0.2831500897435525
84,0.0,0.0,0.0,0.0,7.350985330340799,0.015269947717911212,0.0,0.0,0.0,0.27285487828442595
85,0.0,0.0,0.0,0.0,7.083706769781844,0.01471473920334537,0.0,0.0,0.0,0.2629339961397776
86,0.0,0.0,0.0,0.0,6.826146338932606,0.014179717823689288,0.0,0.0,0.0,0.25337383286204795
87,0.0,0.0,0.0,0.0,6.577950690914614,0.013664149583686813,0.0,0.0,0.0,0.24416127287350373
88,0.0,0.0,0.0,0.0,6.3387793263849135,0.0131673271758232,0.0,0.0,0.0,0.23528367747299078
89,0.0,0.0,0.0,0.0,6.108304126405364,0.012688569009970665,0.0,0.0,0.0,0.2267288674969133
90,0.0,0.0,0.0,0.0,5.886208902296645,0.012227218278315662,0.0,0.0,0.0,0.21848510661065298
91,0.0,0.0,0.0,0.0,5.672188961859327,0.011782642054284916,0.0,0.0,0.0,0.2105410852075036
92,0.0,0.0,0.0,0.0,5.465950691366972,0.011354230424234134,0.0,0.0,0.0,0.20288590489303368
93,0.0,0.0,0.0,0.0,5.26721115275779,0.01094139565070816,0.0,0.0,0.0,0.19550906353359143
94,0.0,0.0,0.0,0.0,5.075697695472209,0.010543571366124575,0.0,0.0,0.0,0.1884004408484385
95,0.0,0.0,0.0,0.0,4.891147582403853,0.010160211795774603,0.0,0.0,0.0,0.18155028452574745
96,0.0,0.0,0.0,0.0,4.713307629450812,0.00979079100907541,0.0,0.0,0.0,0.17494919684341623
