Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
0.5,0.1678,164.89880540299438,98040.0,0.0,0.00022562499861916767,0.0,0.0,0.04534444496444534,0.0,0.004617186190515092,0.0,8.575485326592578e-5,0.0,0.0,0.11752698899315447
1.5,0.1633,162.915030801002,94180.0,0.0,0.00021956532076863503,0.0,0.0,0.04412661568809137,0.0,0.004493181044535347,0.0,8.343852172246864e-5,0.0,0.0,0.11437719942488218
2.5,0.1589,160.8890444373618,90430.0,0.0,0.00021363884032472925,0.0,0.0,0.04293555544225779,0.0,0.004371901648052573,0.0,8.117343680989216e-5,0.0,0.0,0.11129773063255503
3.5,0.1545,158.76003377262845,86790.0,0.0,0.00020770615687982003,0.0,0.0,0.04174324856311968,0.0,0.00425049531346122,0.0,7.890679980667363e-5,0.0,0.0,0.1082196431667326
4.5,0.1502,156.59882185966757,83240.0,0.0,0.00020190866694293268,0.0,0.0,0.04057811187621009,0.0,0.00413185557655233,0.0,7.669376070703544e-5,0.0,0.0,0.10521143011958761
5.5,0.146,154.43314676862147,79800.0,0.0,0.00019624681552344022,0.0,0.0,0.03944023481622446,0.0,0.004015991543990257,0.0,7.45431413973251e-5,0.0,0.0,0.10227298368286453
6.5,0.1418,152.22693563405292,76450.0,0.0,0.00019058566961284733,0.0,0.0,0.038302499544204095,0.0,0.003900141948950482,0.0,7.2392790070815e-5,0.0,0.0,0.09933438004716179
7.5,0.1377,149.92411987215618,73200.0,0.0,0.00018506010400800115,0.0,0.0,0.03719201220016076,0.0,0.00378706686701533,0.0,7.029393808647261e-5,0.0,0.0,0.09646556689072944
8.5,0.1336,147.5898316851652,70040.0,0.0,0.00017953520339202383,0.0,0.0,0.036081658500666344,0.0,0.0036740053934012453,0.0,6.8195270012659e-5,0.0,0.0,0.09359660563252774
9.5,0.1296,145.99352648073682,66970.0,0.0,0.00017414570243251724,0.0,0.0,0.034998516423592405,0.0,0.0035637147360880286,0.0,6.613764574365755e-5,0.0,0.0,0.09079748549214339
10.5,0.1256,144.37799210289373,64000.0,0.0,0.00016875691266331718,0.0,0.0,0.03391551727629091,0.0,0.003453438632561326,0.0,6.408081837825954e-5,0.0,0.0,0.08799820636010618
