Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
0.5,0.1678,164.89880540299438,98040.0,0.0,0.00020173084432607865,0.0,0.0,0.04537463916478492,0.0,0.004388923745618626,0.0,8.578435639144232e-5,0.0,0.0,0.11774892188887892
1.5,0.1633,162.915030801002,94180.0,0.0,0.00019631287274545154,0.0,0.0,0.044155993070791294,0.0,0.004271048543129191,0.0,8.34804092357959e-5,0.0,0.0,0.11459316510409827
2.5,0.1589,160.8890444373618,90430.0,0.0,0.00019101399497129868,0.0,0.0,0.04296413434545008,0.0,0.004155764385340615,0.0,8.12246252903445e-5,0.0,0.0,0.11150786264894767
3.5,0.1545,158.76003377262845,86790.0,0.0,0.00018570957690601332,0.0,0.0,0.041771029461090195,0.0,0.004040359691124453,0.0,7.895654249318126e-5,0.0,0.0,0.10842394472838615
4.5,0.1502,156.59882185966757,83240.0,0.0,0.00018052603590437743,0.0,0.0,0.040605113047411205,0.0,0.0039275848387489085,0.0,7.674209322670781e-5,0.0,0.0,0.1054100339847088
5.5,0.146,154.43314676862147,79800.0,0.0,0.0001754637703574655,0.0,0.0,0.03946647471317529,0.0,0.0038174484957434946,0.0,7.459011081268504e-5,0.0,0.0,0.10246602290991107
6.5,0.1418,152.22693563405292,76450.0,0.0,0.00017040213641838104,0.0,0.0,0.03832797844436006,0.0,0.0037073258942093017,0.0,7.243839689681285e-5,0.0,0.0,0.09952185512811544
7.5,0.1377,149.92411987215618,73200.0,0.0,0.0001654617258195558,0.0,0.0,0.037216748533056926,0.0,0.003599840668225508,0.0,7.033821534209191e-5,0.0,0.0,0.09664761085755592
8.5,0.1336,147.5898316851652,70040.0,0.0,0.00016052191055280967,0.0,0.0,0.03610565252779262,0.0,0.0034923683944856183,0.0,6.823821809500845e-5,0.0,0.0,0.09377321894907394
9.5,0.1296,145.99352648073682,66970.0,0.0,0.0001557031569002232,0.0,0.0,0.035021786503533714,0.0,0.003387529977728994,0.0,6.617928420153723e-5,0.0,0.0,0.09096880107763554
