Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
0.5,0.1678,164.89880540299438,98040.0,0.0,0.00024871366429145855,0.0,0.0,0.045293647397142825,0.0,0.004845647170277115,0.0,8.566220587176184e-5,0.0,0.0,0.11732632956241683
1.5,0.1633,162.915030801002,94180.0,0.0,0.0002420240079384758,0.0,0.0,0.04407538326628678,0.0,0.004715313702394264,0.0,8.33581478243157e-5,0.0,0.0,0.11418392087555616
2.5,0.1589,160.8890444373618,90430.0,0.0,0.00023548350015890267,0.0,0.0,0.042884280823201476,0.0,0.004587886071489658,0.0,8.110545967581461e-5,0.0,0.0,0.11111124414547414
3.5,0.1545,158.76003377262845,86790.0,0.0,0.00022894420121430137,0.0,0.0,0.04169339852300672,0.0,0.0044604819921168,0.0,7.885318787544827e-5,0.0,0.0,0.10803832209578675
4.5,0.1502,156.59882185966757,83240.0,0.0,0.0002225539216887779,0.0,0.0,0.040529654390078586,0.0,0.0043359812334297105,0.0,7.665224149056444e-5,0.0,0.0,0.10503515821331237
5.5,0.146,154.43314676862147,79800.0,0.0,0.00021631316431413097,0.0,0.0,0.03939313997771751,0.0,0.004214393590068845,0.0,7.45027936725457e-5,0.0,0.0,0.10210165047422695
6.5,0.1418,152.22693563405292,76450.0,0.0,0.00021007382299799744,0.0,0.0,0.03825688344606107,0.0,0.004092833535541701,0.0,7.235298147365617e-5,0.0,0.0,0.0991678562139256
7.5,0.1377,149.92411987215618,73200.0,0.0,0.00020399152668778536,0.0,0.0,0.03714922663426302,0.0,0.003974333162880921,0.0,7.024712668304342e-5,0.0,0.0,0.09630220154948521
8.5,0.1336,147.5898316851652,70040.0,0.0,0.00019790943822483928,0.0,0.0,0.03604167633252881,0.0,0.0038558395934168463,0.0,6.814190283756538e-5,0.0,0.0,0.09343643273299194
9.5,0.1296,145.99352648073682,66970.0,0.0,0.00019195225103409443,0.0,0.0,0.0349672570075808,0.0,0.003740195934230377,0.0,6.609079262080171e-5,0.0,0.0,0.09063450401453392
10.5,0.1256,144.37799210289373,64000.0,0.0,0.0001859966572356112,0.0,0.0,0.033892604178188054,0.0,0.0036245622398662055,0.0,6.404023102254582e-5,0.0,0.0,0.08783279669368758
11.5,0.1214,143.1048152119603,61130.0,0.0,0.0001797547083054198,0.0,0.0,0.03275566500451837,0.0,0.003502943046495255,0.0,6.188177958850372e-5,0.0,0.0,0.08489975546109244
12.5,0.1174,141.83627387343444,58360.0,0.0,0.00017381057127040082,0.0,0.0,0.031672499154257516,0.0,0.0033871075632941347,0.0,5.982593190521245e-5,0.0,0.0,0.08210675677927276
13.5,0.1134,140.52094214996097,55670.0,0.0,0.00016781011106258576,0.0,0.0,0.03058960699037624,0.0,0.0032713013485508573,0.0,5.777122960204993e-5,0.0,0.0,0.07931351032040825
14.5,0.1097,139.19010394864395,53080.0,0.0,0.0001622516146630489,0.0,0.0,0.029587869021475196,0.0,0.003164173892824095,0.0,5.587035540840953e-5,0.0,0.0,0.07672983511562925
15.5,0.106,137.97563967738373,50570.0,0.0,0.00015674525151070624,0.0,0.0,0.02859286714378754,0.0,0.003056960543945407,0.0,5.396849705269052e-5,0.0,0.0,0.07413945856370366
16.5,0.1023,136.7691959597323,48150.0,0.0,0.0001512484949572019,0.0,0.0,0.027598740387775537,0.0,0.002949758777118114,0.0,5.206736662994956e-5,0.0,0.0,0.0715481849735192
17.5,0.09872,135.49103801394162,45810.0,0.0,0.00014593638914765398,0.0,0.0,0.02663058537049167,0.0,0.0028461582041595,0.0,5.023050599453283e-5,0.0,0.0,0.06904708953020663
18.5,0.0949,134.19041498259074,43560.0,0.0,0.0001402716344746496,0.0,0.0,0.02559687654842603,0.0,0.002735680015125991,0.0,4.8272829860077196e-5,0.0,0.0,0.06637889897211324
19.5,0.09155,133.01141730178668,41660.0,0.0,0.00013530918235963565,0.0,0.0,0.0246913244413217,0.0,0.002638898644267175,0.0,4.65527886968672e-5,0.0,0.0,0.06403791494335462
20.5,0.08825,131.81843704259092,39830.0,0.0,0.00013042216749353406,0.0,0.0,0.02379953818185145,0.0,0.0025435885058141014,0.0,4.4858449967225714e-5,0.0,0.0,0.06173159269487368
21.5,0.08509,130.56584325314597,38070.0,0.0,0.00012573774860209132,0.0,0.0,0.02294818917896945,0.0,0.0024522295422446383,0.0,4.3234889542554315e-5,0.0,0.0,0.05952060864064126
22.5,0.08205,129.27517971822007,36390.0,0.0,0.00012122808895029609,0.0,0.0,0.02213101696924742,0.0,0.0023642788611918284,0.0,4.167250175809781e-5,0.0,0.0,0.05739180357885236
