Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
0.5,0.0,0.0,0.0,0.1678,165.0,0.01678,0.0,0.0,0.0,0.15102000000000002
1.5,0.0,0.0,0.0,0.1633,162.9,0.01633,0.0,0.0,0.0,0.14697000000000002
2.5,0.0,0.0,0.0,0.1589,160.8,0.01589,0.0,0.0,0.0,0.14301000000000003
3.5,0.0,0.0,0.0,0.1545,158.7,0.01545,0.0,0.0,0.0,0.13905
4.5,0.0,0.0,0.0,0.1502,156.6,0.01502,0.0,0.0,0.0,0.13518
5.5,0.0,0.0,0.0,0.146,154.4,0.0146,0.0,0.0,0.0,0.1314
6.5,0.0,0.0,0.0,0.1418,152.3,0.014180000000000002,0.0,0.0,0.0,0.12762
7.5,0.0,0.0,0.0,0.1377,150.2,0.01377,0.0,0.0,0.0,0.12393
8.5,0.0,0.0,0.0,0.1336,148.1,0.01336,0.0,0.0,0.0,0.12024
9.5,0.0,0.0,0.0,0.1296,145.9,0.01296,0.0,0.0,0.0,0.11664
10.5,0.0,0.0,0.0,0.1256,144.0,0.01256,0.0,0.0,0.0,0.11303999999999999
11.5,0.0,0.0,0.0,0.1214,142.2,0.01214,0.0,0.0,0.0,0.10926
12.5,0.0,0.0,0.0,0.1174,140.4,0.01174,0.0,0.0,0.0,0.10566
13.5,0.0,0.0,0.0,0.1134,138.7,0.011340000000000001,0.0,0.0,0.0,0.10206
14.5,0.0,0.0,0.0,0.1097,136.8,0.01097,0.0,0.0,0.0,0.09873000000000001
15.5,0.0,0.0,0.0,0.106,134.8,0.0106,0.0,0.0,0.0,0.0954
16.5,0.0,0.0,0.0,0.1023,132.9,0.010230000000000001,0.0,0.0,0.0,0.09207
17.5,0.0,0.0,0.0,0.09872,131.1,0.009872,0.0,0.0,0.0,0.08884800000000001
18.5,0.0,0.0,0.0,0.0949,129.7,0.00949,0.0,0.0,0.0,0.08541
