Altitude (km),Total (kg/m3),Neutral Temp. (K),H2 (kg/m3),He (kg/m3),H2O (kg/m3),CH4 (kg/m3),NH3 (kg/m3),H2S (kg/m3),N2 (kg/m3)
0.5,0.1678,165.0,0.11163136222760699,0.043164823552990735,0.007219112841664855,0.004338150695443538,0.0008605624164250944,0.0003714012934259249,0.0002145869724428559
1.5,0.1633,162.9,0.1086376725373553,0.04200724485222519,0.007025513272013532,0.004221811731620558,0.0008374841633028481,0.0003614411872255872,0.00020883225625696286
2.5,0.1589,160.8,0.10571050928466479,0.04087539012258777,0.006836215915021129,0.0041080580781047565,0.0008149187602499852,0.0003517024167185904,0.0002032054226529786
3.5,0.1545,158.7,0.10278334603197424,0.03974353539295035,0.006646918558028725,0.003994304424588954,0.0007923533571971221,0.00034196364621159355,0.00019757858904899427
4.5,0.1502,156.6,0.09992270921684486,0.03863740463444105,0.006461923413695239,0.0038831360813803297,0.0007703008042136423,0.00033244621139793753,0.00019207963802691868
5.5,0.146,154.4,0.09712859883927663,0.037556997847059875,0.006281230482020671,0.003774553048478882,0.0007487611012995458,0.00032315011227762233,0.00018670856958675184
6.5,0.1418,152.3,0.0943344884617084,0.0364765910596787,0.006100537550346105,0.0036659700155774353,0.0007272213983854493,0.00031385401315730724,0.00018133750114658503
7.5,0.1377,150.2,0.09160690452170131,0.03542190824342565,0.005924146831330455,0.003559972292983165,0.000706194545540736,0.00030477924973033285,0.0001760943152883269
8.5,0.1336,148.1,0.08887932058169423,0.0343672254271726,0.0057477561123148065,0.003453974570388895,0.0006851676926960227,0.0002957044863033585,0.00017085112943006882
9.5,0.1296,145.9,0.08621826307924829,0.033338266582047665,0.005575667605958076,0.003350562158101802,0.0006646536899206927,0.00028685105856972505,0.00016573582615371946
10.5,0.1256,144.0,0.08355720557680235,0.03230930773692274,0.005403579099601345,0.0032471497458147094,0.0006441396871453627,0.0002779976308360915,0.00016062052287737008
11.5,0.1214,142.2,0.08076309519923412,0.031228900949541567,0.005222886167926777,0.003138566712913262,0.0006225999842312662,0.0002687015317157764,0.00015524945443720324
