Altitude (km),Total (kg/m3),Neutral Temp. (K),CO2 (kg/m3),N2 (kg/m3),Ar (kg/m3),O2 (kg/m3)
0.5,0.1678,165.0,0.1605846,0.00340634,0.00347346,0.0003356000000000003
1.5,0.1633,162.9,0.1562781,0.00331499,0.00338031,0.0003266000000000003
2.5,0.1589,160.8,0.15206730000000002,0.00322567,0.00328923,0.0003178000000000003
3.5,0.1545,158.7,0.1478565,0.0031363499999999996,0.00319815,0.00030900000000000025
4.5,0.1502,156.6,0.1437414,0.0030490599999999997,0.00310914,0.00030040000000000025
5.5,0.146,154.4,0.13972199999999999,0.0029637999999999995,0.0030221999999999996,0.00029200000000000027
6.5,0.1418,152.3,0.1357026,0.00287854,0.0029352600000000003,0.0002836000000000003
7.5,0.1377,150.2,0.13177889999999998,0.0027953099999999996,0.0028503899999999995,0.00027540000000000024
8.5,0.1336,148.1,0.1278552,0.00271208,0.00276552,0.0002672000000000002
9.5,0.1296,145.9,0.12402719999999999,0.0026308799999999995,0.00268272,0.00025920000000000023
10.5,0.1256,144.0,0.12019919999999998,0.0025496799999999995,0.00259992,0.0002512000000000002
11.5,0.1214,142.2,0.11617979999999999,0.0024644199999999997,0.0025129799999999997,0.0002428000000000002
12.5,0.1174,140.4,0.1123518,0.00238322,0.00243018,0.0002348000000000002
13.5,0.1134,138.7,0.10852379999999999,0.0023020199999999997,0.00234738,0.0002268000000000002
14.5,0.1097,136.8,0.1049829,0.00222691,0.00227079,0.0002194000000000002
15.5,0.106,134.8,0.10144199999999999,0.0021517999999999997,0.0021942,0.0002120000000000002
16.5,0.1023,132.9,0.0979011,0.00207669,0.00211761,0.00020460000000000018
17.5,0.09872,131.1,0.09447504,0.002004016,0.002043504,0.00019744000000000017
18.5,0.0949,129.7,0.09081929999999999,0.0019264699999999998,0.00196443,0.00018980000000000017
19.5,0.09155,128.1,0.08761335,0.001858465,0.0018950850000000001,0.00018310000000000017
20.5,0.08825,126.6,0.08445525,0.0017914749999999998,0.0018267749999999999,0.00017650000000000014
21.5,0.08509,125.2,0.08143112999999999,0.0017273269999999999,0.001761363,0.00017018000000000014
22.5,0.08205,123.7,0.07852184999999999,0.0016656149999999998,0.0016984349999999999,0.00016410000000000014
23.5,0.07913,122.2,0.07572741000000001,0.001606339,0.001637991,0.00015826000000000016
24.5,0.07624,120.4,0.07296168,0.001547672,0.001578168,0.00015248000000000014
25.5,0.07256,119.9,0.06943992,0.0014729679999999998,0.001501992,0.00014512000000000013
26.5,0.07079,116.4,0.06774603,0.001437037,0.0014653530000000002,0.00014158000000000015
27.5,0.06895,113.0,0.06598514999999999,0.001399685,0.0014272649999999998,0.00013790000000000013
28.5,0.06702,109.8,0.06413814,0.0013605059999999998,0.001387314,0.00013404000000000012
29.5,0.06268,110.8,0.05998476,0.001272404,0.0012974759999999999,0.00012536000000000011
30.5,0.05911,110.8,0.056568270000000004,0.001199933,0.001223577,0.00011822000000000011
