Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
0,0.0,0.0,0.0,0.0,158.71146543776337,764.0403724640134,0.0,0.0,0.0,3463.4358961642574
1,0.0,0.0,0.0,0.0,157.52710413509305,730.76596894762,0.0,0.0,0.0,3312.6012443375844
2,0.0,0.0,0.0,0.0,156.38580568317457,699.0936803752554,0.0,0.0,0.0,3169.0290652897197
3,0.0,0.0,0.0,0.0,155.28600433588747,668.9372474487737,0.0,0.0,0.0,3032.328341005984
4,0.0,0.0,0.0,0.0,154.22619127694458,640.2155468460955,0.0,0.0,0.0,2902.1313351260574
5,0.0,0.0,0.0,0.0,153.20491254994855,612.8522617118924,0.0,0.0,0.0,2778.0920992606248
6,0.0,0.0,0.0,0.0,151.42316450927544,583.7010023963261,0.0,0.0,0.0,2645.947880747249
7,0.0,0.0,0.0,0.0,149.5541032602229,555.5350610129303,0.0,0.0,0.0,2518.2701611499047
8,0.0,0.0,0.0,0.0,147.7530002477596,528.8889187934035,0.0,0.0,0.0,2397.4817724947566
9,0.0,0.0,0.0,0.0,146.01738454059705,503.67192511511917,0.0,0.0,0.0,2283.1717906582526
10,0.0,0.0,0.0,0.0,144.34487504941063,479.79925221494955,0.0,0.0,0.0,2174.955686850558
11,0.0,0.0,0.0,0.0,142.73317726022566,457.1915030634245,0.0,0.0,0.0,2072.4735500881357
12,0.0,0.0,0.0,0.0,141.18008008657606,435.77434637710707,0.0,0.0,0.0,1975.3884326853122
13,0.0,0.0,0.0,0.0,139.68345283611728,415.4781768628113,0.0,0.0,0.0,1883.3848101231322
14,0.0,0.0,0.0,0.0,138.24124228753178,396.23779892225633,0.0,0.0,0.0,1796.1671472656317
15,0.0,0.0,0.0,0.0,136.8514698737168,377.9921321711335,0.0,0.0,0.0,1713.458563462011
16,0.0,0.0,0.0,0.0,135.5122289673905,360.68393724303394,0.0,0.0,0.0,1634.999589601161
17,0.0,0.0,0.0,0.0,134.2216822653918,344.2595604568652,0.0,0.0,0.0,1560.5470106754015
18,0.0,0.0,0.0,0.0,132.97805926808616,328.6686960268995,0.0,0.0,0.0,1489.8727878659033
19,0.0,0.0,0.0,0.0,131.77965385041927,313.86416458795065,0.0,0.0,0.0,1422.7630545854634
20,0.0,0.0,0.0,0.0,130.63143056406133,299.8168746276223,0.0,0.0,0.0,1359.0859374515512
21,0.0,0.0,0.0,0.0,129.59587113179066,286.6253342926739,0.0,0.0,0.0,1299.2879791651117
