Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
e-,1,57.788,115.128,0.563681,-0.75876,0.326416,407.988,90.051,451000
e-,1,70.8943,173.335,0.222587,-0.107202,0.969001,348.242,51.7752,451000
e-,1,70.0747,100.571,-0.607454,-0.733284,0.305441,178.855,-128.688,451000
e-,1,69.8102,106.599,-0.882245,0.101335,0.459756,-124.706,-79.4235,451000
e-,1,69.8096,87.5239,-0.890205,0.437945,0.125459,-156.579,-43.2045,451000
e-,1,67.1418,104.188,-0.249458,-0.920332,0.301263,-150.89,-8.08379,451000
e-,1,65.3303,133.111,-0.0345203,0.713724,0.699576,185.092,-138.879,451000
e-,1,37.1563,131.419,0.246879,0.741283,0.624139,2.9495,68.9702,451000
e-,1,104.798,144.837,-0.409984,0.0612635,0.910033,175.877,-94.0734,451000
e-,1,131.985,100.642,-0.499482,0.819305,0.281526,312.263,-1.46783,451000
e-,1,34.187,109.083,-0.746122,-0.457289,0.483931,326.18,40.132,451000
e-,1,101.034,96.0781,-0.625619,0.747803,0.222241,286.048,-10.0522,451000
e-,1,58.5734,130.451,-0.447007,-0.490973,0.74775,92.9592,-49.5215,451000
e-,1,86.9404,152.711,0.616984,-0.0229581,0.786641,66.1273,93.584,451000
e-,1,96.844,124.415,0.855269,-0.313862,0.412317,239.23,-91.4534,451000
e-,1,84.8598,128.87,-0.529297,0.416188,0.739346,205.218,-80.4122,451000
e-,1,118.895,113.409,0.186676,0.911505,0.366484,47.1636,-64.8016,451000
e-,1,132.3,161.24,-0.136235,-0.024989,0.990361,439.176,-45.252,451000
gamma,0.01,42.4094,139.911,0.640408,-0.482048,0.597919,305317,-277420,451000
gamma,0.01,6.53858,161.333,0.0576269,-0.316448,0.946858,-41486.2,-115382,451000
gamma,0.01,13.8878,144.643,0.409493,-0.56647,0.715141,138544,-296188,451000
gamma,0.01,13.9909,114.277,-0.737842,0.555958,0.382753,-724169,498004,451000
gamma,0.01,47.3467,159.986,-0.0907163,0.233794,0.968045,-87961.4,1596.72,451000
gamma,0.01,14.9366,135.826,0.884007,0.115559,0.452966,607606,86933.4,451000
gamma,0.01,70.2988,148.078,0.737636,0.0964528,0.668274,440033,-158297,451000
