Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
0km-1km,0,0,0
1km-2km,0,0,0
2km-3km,0,0,0
3km-4km,0,0,0
4km-5km,0,0,0
5km-6km,0,0,0
6km-7km,0,0,0
7km-8km,0,0,0
8km-9km,0,0,0
9km-10km,0,0,0
10km-11km,0,0,0
11km-12km,0,0,0
12km-13km,0,0,0
13km-14km,0,0,0
14km-15km,0,0,0
15km-16km,0,0,0
16km-17km,0,0,0
17km-18km,0,0,0
18km-19km,0,0,0
19km-20km,0,0,0
20km-21km,0,0,0
21km-22km,0,0,0
22km-23km,0,0,0
23km-24km,0,0,0
24km-25km,0,0,0
25km-26km,0,0,0
26km-27km,0,0,0
27km-28km,0,0,0
28km-29km,0,0,0
29km-30km,0,0,0
30km-31km,0,0,0
31km-32km,0,0,0
32km-33km,0.242539,0.242539,0.18
33km-34km,0.25228,0.25228,0
34km-35km,0.497922,0.497922,0.17
35km-36km,0.732648,0.732648,0.42
36km-37km,0.912216,0.912216,0.25
37km-38km,0.0128983,0.0128983,0
38km-39km,1.42459,1.42459,0.36
39km-40km,1.45273,1.45273,0.38
40km-41km,1.77369,1.77369,0.38
41km-42km,2.67535,2.67535,0.89
42km-43km,2.93961,2.93961,0.82
43km-44km,2.5153,2.5153,0.98
44km-45km,2.12195,2.12195,0.6
45km-46km,3.43894,3.43894,1.23
46km-47km,3.97617,3.97617,1.31
47km-48km,3.7482,3.7482,1.43
48km-49km,3.7049,3.7049,1.25
49km-50km,3.472,3.472,1.36
50km-51km,4.00251,4.00251,1.21
51km-52km,4.83693,4.83693,2.06
52km-53km,6.24463,6.24463,2.66
53km-54km,5.20983,5.20983,1.51
54km-55km,4.39212,4.39212,1.49
55km-56km,4.59334,4.59334,1.8
56km-57km,7.45539,7.45539,2.24
57km-58km,6.92253,6.92253,2.2
58km-59km,6.91443,6.91443,2.31
59km-60km,6.8125,6.8125,1.8
60km-61km,5.36604,5.36604,1.88
61km-62km,6.52144,6.52144,2.3
62km-63km,8.1685,8.1685,2.85
63km-64km,9.01592,9.01592,2.5
64km-65km,6.90158,6.90158,2.45
65km-66km,6.30701,6.30701,2.13
66km-67km,7.78861,7.78861,2.96
67km-68km,8.81499,8.81499,3.1
68km-69km,7.70587,7.70587,2.39
69km-70km,7.68699,7.68699,3.07
70km-71km,9.39822,9.39822,3.22
71km-72km,8.40357,8.40357,3.18
72km-73km,7.2932,7.2932,3.4
73km-74km,6.94002,6.94002,2.25
74km-75km,7.80207,7.80207,3.02
75km-76km,8.71299,8.71299,2.85
76km-77km,7.09559,7.09559,2.62
77km-78km,9.02943,9.02943,3.36
78km-79km,8.74178,8.74178,3.12
79km-80km,7.80133,7.80133,2.86
80km-81km,7.12177,7.12177,3.03
81km-82km,7.45839,7.45839,2.82
82km-83km,7.73741,7.73741,2.96
83km-84km,7.7295,7.7295,2.89
84km-85km,7.90317,7.90317,3.31
85km-86km,7.8416,7.8416,3.41
86km-87km,12.6442,12.6442,4.02
87km-88km,8.55029,8.55029,3.25
88km-89km,92.5931,92.5931,3.95
89km-90km,5383.63,5383.63,11.24
90km-91km,50885.8,50885.8,91.74
91km-92km,157831,157831,259.59
92km-93km,266207,266207,495.81
93km-94km,317215,317215,487.92
94km-95km,315550,315550,533.46
95km-96km,289197,289197,472.06
96km-97km,247491,247491,325.12
97km-98km,202888,202888,294.58
98km-99km,164826,164826,251.26
99km-100km,130306,130306,175.7
100km-101km,102248,102248,141.11
101km-102km,81397.8,81397.8,99.36
102km-103km,64540.1,64540.1,84.9
103km-104km,50703.5,50703.5,61.68
104km-105km,40874.1,40874.1,52.5
105km-106km,33173.2,33173.2,40.28
106km-107km,26723.2,26723.2,25.11
107km-108km,21442.8,21442.8,28.93
108km-109km,17700.2,17700.2,17.01
109km-110km,14530.7,14530.7,22.81
110km-111km,11892.4,11892.4,7.6
111km-112km,9743.74,9743.74,9.31
112km-113km,8141.45,8141.45,5.26
113km-114km,6672.75,6672.75,5.15
114km-115km,5686.83,5686.83,9.23
115km-116km,4668.19,4668.19,8.12
116km-117km,3916.26,3916.26,4.12
117km-118km,3331.34,3331.34,5
118km-119km,2902.84,2902.84,4.02
119km-120km,2466.99,2466.99,6.1
120km-121km,2142.43,2142.43,0.07
121km-122km,1811.33,1811.33,1.05
122km-123km,1656.32,1656.32,2.04
123km-124km,1400.26,1400.26,1.01
124km-125km,1316,1316,0.09
125km-126km,1172.47,1172.47,1.04
126km-127km,1064.22,1064.22,0.04
127km-128km,971.349,971.349,1.02
128km-129km,892.414,892.414,2.07
129km-130km,806.309,806.309,1.02
130km-131km,745.282,745.282,1.02
131km-132km,660.846,660.846,0.02
132km-133km,621.18,621.18,1
133km-134km,575.902,575.902,0.01
134km-135km,530.487,530.487,1.01
135km-136km,509.085,509.085,0
136km-137km,444.531,444.531,1.02
137km-138km,408.496,408.496,0
138km-139km,369.995,369.995,0
139km-140km,352.443,352.443,0
140km-141km,334.722,334.722,1
141km-142km,306.003,306.003,1
142km-143km,283.614,283.614,0.01
143km-144km,287.036,287.036,0
144km-145km,259.177,259.177,0
145km-146km,251.854,251.854,0.02
146km-147km,219.832,219.832,0.02
147km-148km,212.069,212.069,0
148km-149km,192.346,192.346,0
149km-150km,182.385,182.385,0
150km-151km,177.473,177.473,0.02
151km-152km,173.042,173.042,0
152km-153km,161.974,161.974,0
153km-154km,156.268,156.268,0
154km-155km,141.054,141.054,0
155km-156km,136.96,136.96,0
156km-157km,125.422,125.422,0
157km-158km,128.798,128.798,0
158km-159km,121.989,121.989,0
159km-160km,110.924,110.924,0
160km-161km,103.468,103.468,0
161km-162km,104.625,104.625,0
162km-163km,92.8923,92.8923,0.02
163km-164km,90.5823,90.5823,0
164km-165km,83.1318,83.1318,0
165km-166km,75.7075,75.7075,0
166km-167km,74.9493,74.9493,0
167km-168km,72.5511,72.5511,0
168km-169km,70.1836,70.1836,0
169km-170km,61.8648,61.8648,0
170km-171km,63.4409,63.4409,0.02
171km-172km,67.2976,67.2976,0
172km-173km,59.587,59.587,0
173km-174km,57.4618,57.4618,0
174km-175km,50.3882,50.3882,0
175km-176km,56.0334,56.0334,0
176km-177km,48.9255,48.9255,1
177km-178km,46.3299,46.3299,0
178km-179km,49.0445,49.0445,0
179km-180km,48.0272,48.0272,0
180km-181km,44.2714,44.2714,0
181km-182km,41.564,41.564,0
182km-183km,36.987,36.987,0
183km-184km,36.8926,36.8926,0
184km-185km,31.7365,31.7365,0
185km-186km,37.4236,37.4236,0
186km-187km,31.2408,31.2408,0
187km-188km,30.3768,30.3768,0
188km-189km,31.6421,31.6421,0
189km-190km,24.4879,24.4879,0
190km-191km,26.5874,26.5874,0
191km-192km,25.5369,25.5369,0
